context,old_irish,latin,old_english,lithuanian,old_church_slavonic,albanian,greek,armenian,hittite,avestan,sanskrit,tocharian_b
n.ant,T,T,T,T,T,T,T,T,T,T,T,T
n.cor,T,T,T,T,T,T,T,T,T,T,T,T
n.nasal,T,T,T,T,T,T,T,T,T,T,T,T
n.voice,T,T,T,T,T,T,T,T,T,T,T,T
ni.nasal,T,T,T,T,T,T,T,T,T,T,T,T
ni.voice,T,T,T,T,T,T,T,T,T,T,T,T
ni.cons,T,T,T,T,T,T,T,T,T,T,T,T
ni.cor,T,T,T,T,T,T,T,T,T,T,T,T
ni.distr,F,F,F,F,F,F,F,F,F,F,F,T
ni.ant,T,T,T,T,T,T,T,T,T,T,T,F
ni.high,F,F,F,F,F,F,F,F,F,F,F,T
l.long,F,F,F,F,F,F,F,F,F,T,T,F
l.lat,T,T,T,T,T,T,T,T,T,F,F,T
l.vibr,F,F,F,F,F,F,F,F,F,T,T,F
l.cons,T,T,T,T,T,T,T,T,T,T,T,T
l.cor,T,T,T,T,T,T,T,T,T,T,T,T
l.cont,T,T,T,T,T,T,T,T,T,T,T,T
l.voice,T,T,T,T,T,T,T,T,T,T,T,T
l.ant,T,T,T,T,T,T,T,T,T,T,T,T
r.long,T,T,T,T,T,T,T,T,T,T,T,T
r.vibr,T,T,T,T,T,T,T,T,T,T,T,T
r.cons,T,T,T,T,T,T,T,T,T,T,T,T
r.cor,T,T,T,T,T,T,T,T,T,T,T,T
r.cont,T,T,T,T,T,T,T,T,T,T,T,T
r.voice,T,T,T,T,T,T,T,T,T,T,T,T
r.ant,T,T,T,T,T,T,T,T,T,T,T,T
h₁.cons,F,F,F,F,F,F,F,F,T,F,F,F
h₁.obstr,F,F,F,F,F,F,F,F,T,F,F,F
h₁.cont,F,F,F,F,F,F,F,F,T,F,F,F
h₂.cons,F,F,F,F,F,F,F,F,T,F,F,F
h₂.obstr,F,F,F,F,F,F,F,F,T,F,F,F
h₂.cont,F,F,F,F,F,F,F,F,T,F,F,F
h₃.cons,F,F,F,F,F,F,F,F,T,F,F,F
h₃.obstr,F,F,F,F,F,F,F,F,T,F,F,F
h₃.cont,F,F,F,F,F,F,F,F,T,F,F,F
